Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0199681021	1.43051764e-08	1.43051764e-08	1.43051764e-08	1.43051764e-08	0	0	0	0	0	0	0	3
2	1	0	0.0399362042	7.97802856e-09	1.11416025e-08	7.97802856e-09	1.43051764e-08	3.16357392e-09	0	0	0	0	0	0	3
3	1	0	0.0599043063	5.57411046e-09	9.28577181e-09	5.57411046e-09	1.43051764e-08	5.0194046e-09	0	0	0	0	0	0	3
4	1	0	0.0798724083	4.55484605e-09	8.10304037e-09	4.55484605e-09	1.43051764e-08	6.20213604e-09	0	0	0	0	0	0	3
5	1	0	0.0998405104	4.02963458e-09	7.28835921e-09	4.02963458e-09	1.43051764e-08	7.01681719e-09	0	0	0	0	0	0	3
6	1	0	0.119808613	3.59873226e-09	6.67342139e-09	3.59873226e-09	1.43051764e-08	7.63175502e-09	0	0	0	0	0	0	3
7	1	0	0.139776715	3.24385217e-09	6.18348293e-09	3.24385217e-09	1.43051764e-08	8.12169348e-09	0	0	0	0	0	0	3
8	1	0	0.159744817	2.96563724e-09	5.78125222e-09	2.96563724e-09	1.43051764e-08	8.52392419e-09	0	0	0	0	0	0	3
9	1	0	0.179712919	2.75066503e-09	5.44452031e-09	2.75066503e-09	1.43051764e-08	8.8606561e-09	0	0	0	0	0	0	3
10	1	0	0.199681021	2.58476817e-09	5.15854509e-09	2.58476817e-09	1.43051764e-08	9.14663131e-09	0	0	0	0	0	0	3
11	1	0	0.219649123	2.42560553e-09	4.91009604e-09	2.42560553e-09	1.43051764e-08	9.39508036e-09	0	0	0	0	0	0	3
12	1	0	0.239617225	2.29348893e-09	4.69204545e-09	2.29348893e-09	1.43051764e-08	9.61313096e-09	0	0	0	0	0	0	3
13	2	0	0.259585327	2.18117119e-09	4.49890128e-09	2.18117119e-09	1.43051764e-08	9.80627513e-09	0	0	0	0	0	0	3
14	2	0	0.279553429	2.09190156e-09	4.32697272e-09	2.09190156e-09	1.43051764e-08	9.97820368e-09	0	0	0	0	0	0	3
15	2	0	0.299521531	2.01530384e-09	4.17286147e-09	2.01530384e-09	1.43051764e-08	1.01323149e-08	0	0	0	0	0	0	3
16	2	0	0.319489633	1.93832202e-09	4.03320275e-09	1.93832202e-09	1.43051764e-08	1.02719737e-08	0	0	0	0	0	0	3
17	2	0	0.339457735	1.86464246e-09	3.90564038e-09	1.86464246e-09	1.43051764e-08	1.0399536e-08	0	0	0	0	0	0	3
