Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0199681021	0	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0399362042	0	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0599043063	0	0	0	0	0	0	0	0	0	0	0	3
4	1	0	0.0798724083	0	0	0	0	0	0	0	0	0	0	0	3
5	1	0	0.0998405104	0	0	0	0	0	0	0	0	0	0	0	3
6	1	0	0.119808613	0	0	0	0	0	0	0	0	0	0	0	3
7	1	0	0.139776715	0	0	0	0	0	0	0	0	0	0	0	3
8	1	0	0.159744817	0	0	0	0	0	0	0	0	0	0	0	3
9	1	0	0.179712919	0	0	0	0	0	0	0	0	0	0	0	3
10	1	0	0.199681021	0	0	0	0	0	0	0	0	0	0	0	3
11	1	0	0.219649123	0	0	0	0	0	0	0	0	0	0	0	3
12	1	0	0.239617225	0	0	0	0	0	0	0	0	0	0	0	3
13	2	0	0.259585327	0	0	0	0	0	0	0	0	0	0	0	3
14	2	0	0.279553429	0	0	0	0	0	0	0	0	0	0	0	3
15	2	0	0.299521531	0	0	0	0	0	0	0	0	0	0	0	3
16	2	0	0.319489633	0	0	0	0	0	0	0	0	0	0	0	3
17	2	0	0.339457735	0	0	0	0	0	0	0	0	0	0	0	3
18	2	0	0.359425838	0	0	0	0	0	0	0	0	0	0	0	3
19	2	0	0.37939394	0	0	0	0	0	0	0	0	0	0	0	3
20	2	0	0.399362042	0	0	0	0	0	0	0	0	0	0	0	3
21	2	0	0.419330144	0	0	0	0	0	0	0	0	0	0	0	3
22	2	0	0.439298246	0	0	0	0	0	0	0	0	0	0	0	3
23	2	0	0.459266348	0	0	0	0	0	0	0	0	0	0	0	3
24	2	0	0.47923445	0	0	0	0	0	0	0	0	0	0	0	3
25	2	0	0.499202552	0	0	0	0	0	0	0	0	0	0	0	3
26	2	0	0.519170654	0	0	0	0	0	0	0	0	0	0	0	3
27	3	0	0.539138756	0	0	0	0	0	0	0	0	0	0	0	3
28	3	0	0.559106858	0	0	0	0	0	0	0	0	0	0	0	3
29	3	0	0.57907496	0	0	0	0	0	0	0	0	0	0	0	3
30	3	0	0.599043063	0	0	0	0	0	0	0	0	0	0	0	3
31	3	0	0.619011165	0	0	0	0	0	0	0	0	0	0	0	3
32	3	0	0.638979267	0	0	0	0	0	0	0	0	0	0	0	3
33	3	0	0.658947369	0	0	0	0	0	0	0	0	0	0	0	3
34	3	0	0.678915471	0	0	0	0	0	0	0	0	0	0	0	3
35	3	0	0.698883573	0	0	0	0	0	0	0	0	0	0	0	3
36	3	0	0.718851675	0	0	0	0	0	0	0	0	0	0	0	3
37	3	0	0.738819777	0	0	0	0	0	0	0	0	0	0	0	3
38	3	0	0.758787879	0	0	0	0	0	0	0	0	0	0	0	3
39	4	0	0.778755981	0	0	0	0	0	0	0	0	0	0	0	3
40	4	0	0.798724083	0	0	0	0	0	0	0	0	0	0	0	3
41	4	0	0.818692185	0	0	0	0	0	0	0	0	0	0	0	3
42	4	0	0.838660288	0	0	0	0	0	0	0	0	0	0	0	3
43	4	0	0.85862839	0	0	0	0	0	0	0	0	0	0	0	3
44	4	0	0.878596492	0	0	0	0	0	0	0	0	0	0	0	3
45	4	0	0.898564594	0	0	0	0	0	0	0	0	0	0	0	3
46	4	0	0.918532696	0	0	0	0	0	0	0	0	0	0	0	3
47	4	0	0.938500798	0	0	0	0	0	0	0	0	0	0	0	3
48	4	0	0.9584689	0	0	0	0	0	0	0	0	0	0	0	3
49	4	0	0.978437002	0	0	0	0	0	0	0	0	0	0	0	3
50	4	0	0.998405104	0	0	0	0	0	0	0	0	0	0	0	3
51	5	0	1.01837321	0	0	0	0	0	0.001	0	0	0	0	0	3
52	5	0	1.03834131	0	0	0	0	0	0.001	0	0	0	0	0	3
53	5	0	1.05830941	0	0	0	0	0	0.001	0	0	0	0	0	3
54	5	0	1.07827751	0	0	0	0	0	0.001	0	0	0	0	0	3
