Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0199681021	101325	101325	101325	101325	0	0	0	0	0.000194495	0	0	3
2	1	0	0.0399362042	101325	101325	101325	101325	1.82772055e-08	0	0	0	0.000159203	0	0	3
3	1	0	0.0599043063	101325	101325	101325	101325	3.39205144e-08	0	0	0	0.000121178	0	0	3
4	1	0	0.0798724083	101325	101325	101325	101325	4.07890184e-08	0	0	0	9.90765e-05	0	0	3
5	1	0	0.0998405104	101325	101325	101325	101325	4.26516635e-08	0	0	0	8.70284e-05	0	0	3
6	1	0	0.119808613	101325	101325	101325	101325	4.26516635e-08	0	0	0	8.06899e-05	0	0	3
7	1	0	0.139776715	101325	101325	101325	101325	4.26516635e-08	0	0	0	7.54296e-05	0	0	3
8	1	0	0.159744817	101325	101325	101325	101325	4.26516635e-08	0	0	0	7.09909e-05	0	0	3
9	1	0	0.179712919	101325	101325	101325	101325	4.26516635e-08	0	0	0	6.7241e-05	0	0	3
10	1	0	0.199681021	101325	101325	101325	101325	4.26516635e-08	0	0	0	6.3834e-05	0	0	3
11	1	0	0.219649123	101325	101325	101325	101325	4.26516635e-08	0	0	0	6.21665e-05	0	0	3
12	1	0	0.239617225	101325	101325	101325	101325	4.26516635e-08	0	0	0	5.96082e-05	0	0	3
13	2	0	0.259585327	101325	101325	101325	101325	4.26516635e-08	0	0	0	5.8254e-05	0	0	3
14	2	0	0.279553429	101325	101325	101325	101325	4.26516635e-08	0	0	0	5.61883e-05	0	0	3
15	2	0	0.299521531	101325	101325	101325	101325	4.4805347e-08	0	0	0	5.52868e-05	0	0	3
16	2	0	0.319489633	101325	101325	101325	101325	4.9258233e-08	0	0	0	5.376e-05	0	0	3
17	2	0	0.339457735	101325	101325	101325	101325	5.38275344e-08	0	0	0	5.31757e-05	0	0	3
18	2	0	0.359425838	101325	101325	101325	101325	5.8367732e-08	0	0	0	5.17055e-05	0	0	3
19	2	0	0.37939394	101325	101325	101325	101325	6.28788257e-08	0	0	0	5.12567e-05	0	0	3
20	2	0	0.399362042	101325	101325	101325	101325	6.73317118e-08	0	0	0	4.99712e-05	0	0	3
21	2	0	0.419330144	101325	101325	101325	101325	7.1755494e-08	0	0	0	4.9825e-05	0	0	3
22	2	0	0.439298246	101325	101325	101325	101325	7.61647243e-08	0	0	0	4.87277e-05	0	0	3
23	2	0	0.459266348	101325	101325	101325	101325	8.04429874e-08	0	0	0	4.85783e-05	0	0	3
24	2	0	0.47923445	101325	101325	101325	101325	8.45757313e-08	0	0	0	4.75425e-05	0	0	3
25	2	0	0.499202552	101325	101325	101325	101325	8.85193003e-08	0	0	0	4.74777e-05	0	0	3
26	2	0	0.519170654	101325	101325	101325	101325	9.23027983e-08	0	0	0	4.66436e-05	0	0	3
27	3	0	0.539138756	101325	101325	101325	101325	9.79198376e-08	0	0	0	4.67307e-05	0	0	3
28	3	0	0.559106858	101325	101325	101325	101325	1.04904757e-07	0	0	0	4.62568e-05	0	0	3
29	3	0	0.57907496	101325	101325	101325	101325	1.12922862e-07	0	0	0	4.60179e-05	0	0	3
30	3	0	0.599043063	101325	101325	101325	101325	1.20693585e-07	0	0	0	4.55974e-05	0	0	3
31	3	0	0.619011165	101325	101325	101325	101325	1.25481165e-07	0	0	0	4.5496e-05	0	0	3
32	3	0	0.638979267	101325	101325	101325	101325	1.26019586e-07	0	0	0	4.5191e-05	0	0	3
33	3	0	0.658947369	101325	101325	101325	101325	1.25146471e-07	0	0	0	4.51063e-05	0	0	3
34	3	0	0.678915471	101325	101325	101325	101325	1.24040525e-07	0	0	0	4.4931e-05	0	0	3
35	3	0	0.698883573	101325	101325	101325	101325	1.22789061e-07	0	0	0	4.47668e-05	0	0	3
36	3	0	0.718851675	101325	101325	101325	101325	1.16444426e-07	0	0	0	4.46692e-05	0	0	3
37	3	0	0.738819777	101325	101325	101325	101325	1.07189408e-07	0	0	0	4.45763e-05	0	0	3
