Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.00233605447	0.00798724083	293.2	293.2	293.2	293.2	0	0	0	0	2.7846e-06	0	0	3
2	1	0.0040212357	0.0159744817	293.2	293.2	293.2	293.2	8.57028226e-10	0	0	0	2.65186e-06	0	0	3
3	1	0.00572143262	0.0239617225	293.2	293.2	293.2	293.2	1.11964482e-09	0	0	0	2.71182e-06	0	0	3
4	1	0.00743127207	0.0319489633	293.2	293.2	293.2	293.2	1.2217356e-09	0	0	0	2.61929e-06	0	0	3
5	1	0.00918405604	0.0399362042	293.2	293.2	293.2	293.2	1.27471367e-09	0	0	0	2.63891e-06	0	0	3
6	1	0.0120951263	0.047923445	293.2	293.2	293.2	293.2	1.33161393e-09	0	0	0	2.56768e-06	0	0	3
7	1	0.0153634982	0.0559106858	293.2	293.2	293.2	293.2	1.37436018e-09	0	0	0	2.54957e-06	0	0	3
8	1	0.0187480498	0.0638979267	293.2	293.2	293.2	293.2	1.40806833e-09	0	0	0	2.49337e-06	0	0	3
9	1	0.0221568936	0.0718851675	293.2	293.2	293.2	293.2	1.43455736e-09	0	0	0	2.47291e-06	0	0	3
10	1	0.0255767543	0.0798724083	293.2	293.2	293.2	293.2	1.45860213e-09	0	0	0	2.41997e-06	0	0	3
11	1	0.0307205079	0.0878596492	293.2	293.2	293.2	293.2	1.45860213e-09	0	0	0	2.41327e-06	0	0	3
12	1	0.0358429478	0.09584689	293.2	293.2	293.2	293.2	1.45860213e-09	0	0	0	2.50334e-06	0	0	3
13	1	0.0410064468	0.103834131	293.2	293.2	293.2	293.2	1.45860213e-09	0	0	0	2.58452e-06	0	0	3
14	2	0.0461841657	0.111821372	293.2	293.2	293.2	293.2	1.45860213e-09	0	0	0	2.79294e-06	0	0	3
15	2	0.0513605044	0.119808613	293.2	293.2	293.2	293.2	1.46258117e-09	0	0	0	2.75344e-06	0	0	3
16	2	0.0591551887	0.127795853	293.2	293.2	293.2	293.2	1.50532742e-09	0	0	0	2.93273e-06	0	0	3
17	2	0.0669580815	0.135783094	293.2	293.2	293.2	293.2	1.53966084e-09	0	0	0	3.10515e-06	0	0	3
18	2	0.0747691761	0.143770335	293.2	293.2	293.2	293.2	1.59457159e-09	0	0	0	3.12808e-06	0	0	3
19	2	0.0825896567	0.151757576	293.2	293.2	293.2	293.2	1.64703806e-09	0	0	0	3.20493e-06	0	0	3
20	2	0.0904215795	0.159744817	293.2	293.2	293.2	293.2	1.69944769e-09	0	0	0	3.2471e-06	0	0	3
21	2	0.102189972	0.167732058	293.2	293.2	293.2	293.2	1.78221171e-09	0	0	0	3.24581e-06	0	0	3
22	2	0.113990562	0.175719298	293.2	293.2	293.2	293.2	1.86355464e-09	0	0	0	3.24891e-06	0	0	3
23	2	0.125801087	0.183706539	293.2	293.2	293.2	293.2	1.92812877e-09	0	0	0	3.28699e-06	0	0	3
24	2	0.137614949	0.19169378	293.2	293.2	293.2	293.2	2.00355998e-09	0	0	0	3.25388e-06	0	0	3
25	2	0.1494289	0.199681021	293.2	293.2	293.2	293.2	2.07609219e-09	0	0	0	3.25578e-06	0	0	3
26	2	0.167144735	0.207668262	293.2	293.2	293.2	293.2	2.17886509e-09	0	0	0	3.24758e-06	0	0	3
27	2	0.184861205	0.215655503	293.2	293.2	293.2	293.2	2.28300223e-09	0	0	0	3.20231e-06	0	0	3
28	2	0.202578429	0.223642743	293.2	293.2	293.2	293.2	2.38247821e-09	0	0	0	3.18173e-06	0	0	3
29	2	0.220299931	0.231629984	293.2	293.2	293.2	293.2	2.48530796e-09	0	0	0	3.11223e-06	0	0	3
30	2	0.238025586	0.239617225	293.2	293.2	293.2	293.2	2.57995225e-09	0	0	0	3.11733e-06	0	0	3
31	2	0.261379382	0.247604466	293.2	293.2	293.2	293.2	2.70318878e-09	0	0	0	3.08817e-06	0	0	3
32	3	0.284751235	0.255591707	293.2	293.2	293.2	293.2	2.82716428e-09	0	0	0	2.97625e-06	0	0	3
33	3	0.308141037	0.263578948	293.2	293.2	293.2	293.2	2.95176505e-09	0	0	0	2.9435e-06	0	0	3
34	3	0.331544286	0.271566188	293.2	293.2	293.2	293.2	3.06977199e-09	0	0	0	2.89344e-06	0	0	3
35	3	0.35496548	0.279553429	293.2	293.2	293.2	293.2	3.1849936e-09	0	0	0	2.85793e-06	0	0	3
36	3	0.378407031	0.28754067	293.2	293.2	293.2	293.2	3.30243211e-09	0	0	0	2.83129e-06	0	0	3
37	3	0.401867325	0.295527911	293.2	293.2	293.2	293.2	3.42049589e-09	0	0	0	2.8048e-06	0	0	3
38	3	0.425339543	0.303515152	293.2	293.2	293.2	293.2	3.53600171e-09	0	0	0	2.77595e-06	0	0	3
39	3	0.448824144	0.311502393	293.2	293.2	293.2	293.2	3.65037067e-09	0	0	0	2.75441e-06	0	0	3
40	3	0.472322583	0.319489633	293.2	293.2	293.2	293.2	3.76621756e-09	0	0	0	2.74399e-06	0	0	3
41	3	0.495839073	0.327476874	293.2	293.2	293.2	293.2	3.88314447e-09	0	0	0	2.72401e-06	0	0	3
42	3	0.519362501	0.335464115	293.2	293.2	293.2	293.2	3.99722921e-09	0	0	0	2.72188e-06	0	0	3
43	3	0.542891149	0.343451356	293.2	293.2	293.2	293.2	4.11250767e-09	0	0	0	2.71177e-06	0	0	3
44	3	0.566431503	0.351438597	293.2	293.2	293.2	293.2	4.22892299e-09	0	0	0	2.69581e-06	0	0	3
45	3	0.589983471	0.359425838	293.2	293.2	293.2	293.2	4.34476988e-09	0	0	0	2.69308e-06	0	0	3
46	3	0.613546021	0.367413078	293.2	293.2	293.2	293.2	4.46107151e-09	0	0	0	2.67502e-06	0	0	3
47	3	0.637114559	0.375400319	293.2	293.2	293.2	293.2	4.57828264e-09	0	0	0	2.67109e-06	0	0	3
48	4	0.660694066	0.38338756	293.2	293.2	293.2	293.2	4.69503902e-09	0	0	0	2.65791e-06	0	0	3
49	4	0.684283635	0.391374801	293.2	293.2	293.2	293.2	4.81128382e-09	0	0	0	2.66219e-06	0	0	3
50	4	0.70788016	0.399362042	293.2	293.2	293.2	293.2	4.93002972e-09	0	0	0	2.63624e-06	0	0	3
51	4	0.7314811	0.407349283	293.2	293.2	293.2	293.2	5.04900299e-09	0	0	0	2.62957e-06	0	0	3
52	4	0.755088193	0.415336523	293.2	293.2	293.2	293.2	5.16769205e-09	0	0	0	2.62211e-06	0	0	3
53	4	0.778703815	0.423323764	293.2	293.2	293.2	293.2	5.28638111e-09	0	0	0	2.60931e-06	0	0	3
54	4	0.802326082	0.431311005	293.2	293.2	293.2	293.2	5.40666178e-09	0	0	0	2.59667e-06	0	0	3
55	4	0.825951092	0.439298246	293.2	293.2	293.2	293.2	5.52694246e-09	0	0	0	2.58444e-06	0	0	3
56	4	0.849580732	0.447285487	293.2	293.2	293.2	293.2	5.6466547e-09	0	0	0	2.58066e-06	0	0	3
57	4	0.873222098	0.455272728	293.2	293.2	293.2	293.2	5.76727643e-09	0	0	0	2.57049e-06	0	0	3
58	4	0.896862577	0.463259968	293.2	293.2	293.2	293.2	5.88892135e-09	0	0	0	2.55907e-06	0	0	3
59	4	0.920507652	0.471247209	293.2	293.2	293.2	293.2	6.00977046e-09	0	0	0	2.55326e-06	0	0	3
60	4	0.944162445	0.47923445	293.2	293.2	293.2	293.2	6.13096063e-09	0	0	0	2.54826e-06	0	0	3
61	4	0.967821058	0.487221691	293.2	293.2	293.2	293.2	6.25368557e-09	0	0	0	2.52826e-06	0	0	3
62	4	0.991479633	0.495208932	293.2	293.2	293.2	293.2	6.37584208e-09	0	0	0	2.52437e-06	0	0	3
63	4	1.01514476	0.503196173	293.2	293.2	293.2	293.2	6.49771437e-09	0	0	0	2.51023e-06	0	0	3
64	5	1.03882064	0.511183413	293.2	293.2	293.2	293.2	5.77722403e-09	0	0	0	2.48728e-06	0	0	3
65	5	1.06250175	0.519170654	293.2	293.2	293.2	293.2	5.64506308e-09	0	0	0	2.47006e-06	0	0	3
66	5	1.08618688	0.527157895	293.2	293.2	293.2	293.2	5.67240477e-09	0	0	0	2.45793e-06	0	0	3
67	5	1.10988046	0.535145136	293.2	293.2	293.2	293.2	5.74800652e-09	0	0	0	2.43085e-06	0	0	3
68	5	1.13357741	0.543132377	293.2	293.2	293.2	293.2	5.82076609e-09	0	0	0	2.42506e-06	0	0	3
69	5	1.15727581	0.551119618	293.2	293.2	293.2	293.2	5.91154503e-09	0	0	0	2.42481e-06	0	0	3
70	5	1.1809838	0.559106858	293.2	293.2	293.2	293.2	6.02517503e-09	0	0	0	2.41436e-06	0	0	3
71	5	1.20469741	0.567094099	293.2	293.2	293.2	293.2	6.15813178e-09	0	0	0	2.41804e-06	0	0	3
72	5	1.22841141	0.57508134	293.2	293.2	293.2	293.2	6.28847374e-09	0	0	0	2.42501e-06	0	0	3
73	5	1.25213892	0.583068581	293.2	293.2	293.2	293.2	6.41767883e-09	0	0	0	2.42245e-06	0	0	3
74	5	1.27587343	0.591055822	293.2	293.2	293.2	293.2	6.554842e-09	0	0	0	2.42081e-06	0	0	3
75	5	1.29961299	0.599043063	293.2	293.2	293.2	293.2	6.66642563e-09	0	0	0	2.42224e-06	0	0	3
76	5	1.32336293	0.607030303	293.2	293.2	293.2	293.2	6.78090828e-09	0	0	0	2.42306e-06	0	0	3
77	5	1.34712229	0.615017544	293.2	293.2	293.2	293.2	6.87367674e-09	0	0	0	2.42804e-06	0	0	3
78	5	1.37088747	0.623004785	293.2	293.2	293.2	293.2	6.95007429e-09	0	0	0	2.42985e-06	0	0	3
79	5	1.3946719	0.630992026	293.2	293.2	293.2	293.2	7.04380909e-09	0	0	0	2.43894e-06	0	0	3
80	5	1.41847321	0.638979267	293.2	293.2	293.2	293.2	7.11253278e-09	0	0	0	2.44746e-06	0	0	3
81	6	1.4422841	0.646966508	293.2	293.2	293.2	293.2	7.17693638e-09	0	0	0	2.45484e-06	0	0	3
82	6	1.4661114	0.654953748	293.2	293.2	293.2	293.2	7.23565563e-09	0	0	0	2.46364e-06	0	0	3
83	6	1.48995328	0.662940989	293.2	293.2	293.2	293.2	7.25816562e-09	0	0	0	2.47093e-06	0	0	3
84	6	1.51381689	0.67092823	293.2	293.2	293.2	293.2	7.29585281e-09	0	0	0	2.47872e-06	0	0	3
85	6	1.53767853	0.678915471	293.2	293.2	293.2	293.2	7.3438855e-09	0	0	0	2.4837e-06	0	0	3
86	6	1.56153202	0.686902712	293.2	293.2	293.2	293.2	7.37594519e-09	0	0	0	2.48982e-06	0	0	3
87	6	1.5853891	0.694889953	293.2	293.2	293.2	293.2	7.40465111e-09	0	0	0	2.49151e-06	0	0	3
88	6	1.60924878	0.702877193	293.2	293.2	293.2	293.2	7.39919415e-09	0	0	0	2.49133e-06	0	0	3
89	6	1.6331019	0.710864434	293.2	293.2	293.2	293.2	7.41334816e-09	0	0	0	2.48893e-06	0	0	3
90	6	1.65695079	0.718851675	293.2	293.2	293.2	293.2	7.4263653e-09	0	0	0	2.48404e-06	0	0	3
91	6	1.68080022	0.726838916	293.2	293.2	293.2	293.2	7.43176543e-09	0	0	0	2.48178e-06	0	0	3
92	6	1.70466166	0.734826157	293.2	293.2	293.2	293.2	7.44188355e-09	0	0	0	2.48352e-06	0	0	3
93	6	1.7285219	0.742813398	293.2	293.2	293.2	293.2	7.42039674e-09	0	0	0	2.48736e-06	0	0	3
94	6	1.75238539	0.750800638	293.2	293.2	293.2	293.2	7.41817985e-09	0	0	0	2.48683e-06	0	0	3
95	6	1.77626305	0.758787879	293.2	293.2	293.2	293.2	7.41215445e-09	0	0	0	2.48339e-06	0	0	3
96	6	1.80015866	0.76677512	293.2	293.2	293.2	293.2	7.40971018e-09	0	0	0	2.47762e-06	0	0	3
97	7	1.82406117	0.774762361	293.2	293.2	293.2	293.2	7.40891437e-09	0	0	0	2.47037e-06	0	0	3
98	7	1.84798019	0.782749602	293.2	293.2	293.2	293.2	7.4047648e-09	0	0	0	2.45807e-06	0	0	3
99	7	1.87192842	0.790736843	293.2	293.2	293.2	293.2	7.39839834e-09	0	0	0	2.44228e-06	0	0	3
100	7	1.89589023	0.798724083	293.2	293.2	293.2	293.2	7.39299821e-09	0	0	0	2.42871e-06	0	0	3
101	7	1.91985788	0.806711324	293.2	293.2	293.2	293.2	7.3887918e-09	0	0	0	2.44071e-06	0	0	3
102	7	1.94380463	0.814698565	293.2	293.2	293.2	293.2	7.38282324e-09	0	0	0	2.45287e-06	0	0	3
103	7	1.96773185	0.822685806	293.2	293.2	293.2	293.2	7.37492201e-09	0	0	0	2.46648e-06	0	0	3
104	7	1.99165295	0.830673047	293.2	293.2	293.2	293.2	7.22428695e-09	0	0	0	2.47394e-06	0	0	3
105	7	2.01556808	0.838660288	293.2	293.2	293.2	293.2	6.96866209e-09	0	0	0	2.47743e-06	0	0	3
106	7	2.03946582	0.846647528	293.2	293.2	293.2	293.2	6.71178668e-09	0	0	0	2.47741e-06	0	0	3
107	7	2.06335143	0.854634769	293.2	293.2	293.2	293.2	6.68939037e-09	0	0	0	2.47717e-06	0	0	3
108	7	2.08723907	0.86262201	293.2	293.2	293.2	293.2	6.68285338e-09	0	0	0	2.47487e-06	0	0	3
109	7	2.11113256	0.870609251	293.2	293.2	293.2	293.2	6.67597533e-09	0	0	0	2.47116e-06	0	0	3
110	7	2.1350236	0.878596492	293.2	293.2	293.2	293.2	6.65920652e-09	0	0	0	2.46303e-06	0	0	3
111	7	2.15892174	0.886583733	293.2	293.2	293.2	293.2	6.73850309e-09	0	0	0	2.45431e-06	0	0	3
112	8	2.18284465	0.894570973	293.2	293.2	293.2	293.2	6.70843292e-09	0	0	0	2.44596e-06	0	0	3
113	8	2.20677944	0.902558214	293.2	293.2	293.2	293.2	6.67199629e-09	0	0	0	2.44841e-06	0	0	3
114	8	2.23073305	0.910545455	293.2	293.2	293.2	293.2	6.67608901e-09	0	0	0	2.44543e-06	0	0	3
115	8	2.25472638	0.918532696	293.2	293.2	293.2	293.2	6.72258693e-09	0	0	0	2.4368e-06	0	0	3
116	8	2.27875915	0.926519937	293.2	293.2	293.2	293.2	6.66045707e-09	0	0	0	2.42932e-06	0	0	3
117	8	2.30279982	0.934507178	293.2	293.2	293.2	293.2	6.64800837e-09	0	0	0	2.42662e-06	0	0	3
118	8	2.32681531	0.942494418	293.2	293.2	293.2	293.2	6.70053169e-09	0	0	0	2.44301e-06	0	0	3
119	8	2.35079077	0.950481659	293.2	293.2	293.2	293.2	6.57627197e-09	0	0	0	2.46825e-06	0	0	3
120	8	2.37473207	0.9584689	293.2	293.2	293.2	293.2	6.58621957e-09	0	0	0	2.49032e-06	0	0	3
121	8	2.39864747	0.966456141	293.2	293.2	293.2	293.2	6.59986199e-09	0	0	0	2.50513e-06	0	0	3
122	8	2.42252982	0.974443382	293.2	293.2	293.2	293.2	6.46997478e-09	0	0	0	2.51716e-06	0	0	3
123	8	2.44639466	0.982430623	293.2	293.2	293.2	293.2	6.4408141e-09	0	0	0	2.52241e-06	0	0	3
124	8	2.47024285	0.990417863	293.2	293.2	293.2	293.2	6.45763976e-09	0	0	0	2.52579e-06	0	0	3
125	8	2.49407585	0.998405104	293.2	293.2	293.2	293.2	6.37606945e-09	0	0	0	2.52572e-06	0	0	3
126	8	2.51790533	1.00639235	293.2	293.2	293.2	293.2	6.45127329e-09	2.932e-06	0	0	2.52358e-06	0	0	3
127	8	2.54174442	1.01437959	293.2	293.2	293.2	293.2	6.70956979e-09	2.932e-06	0	0	2.51509e-06	0	0	3
128	9	2.56559369	1.02236683	293.2	293.2	293.2	293.2	6.8467898e-09	2.932e-06	0	0	2.50606e-06	0	0	3
129	9	2.58946556	1.03035407	293.2	293.2	293.2	293.2	7.02760872e-09	2.932e-06	0	0	2.49326e-06	0	0	3
130	9	2.61337097	1.03834131	293.2	293.2	293.2	293.2	7.01260205e-09	2.932e-06	0	0	2.47452e-06	0	0	3
131	9	2.63730694	1.04632855	293.2	293.2	293.2	293.2	6.97900759e-09	2.932e-06	0	0	2.45339e-06	0	0	3
132	9	2.66128346	1.05431579	293.2	293.2	293.2	293.2	6.94490154e-09	2.932e-06	0	0	2.43636e-06	0	0	3
133	9	2.68531674	1.06230303	293.2	293.2	293.2	293.2	6.91346713e-09	2.932e-06	0	0	2.4219e-06	0	0	3
134	9	2.70937853	1.07029027	293.2	293.2	293.2	293.2	6.88430646e-09	2.932e-06	0	0	2.4079e-06	0	0	3
135	9	2.7333939	1.07827751	293.2	293.2	293.2	293.2	6.85707846e-09	2.932e-06	0	0	2.42155e-06	0	0	3
136	9	2.75736692	1.08626475	293.2	293.2	293.2	293.2	6.82268819e-09	2.932e-06	0	0	2.43863e-06	0	0	3
137	9	2.78128916	1.09425199	293.2	293.2	293.2	293.2	6.7945507e-09	2.932e-06	0	0	2.4759e-06	0	0	3
138	9	2.8051733	1.10223924	293.2	293.2	293.2	293.2	6.77158596e-09	2.932e-06	0	0	2.50391e-06	0	0	3
139	9	2.82903329	1.11022648	293.2	293.2	293.2	293.2	6.75493084e-09	2.932e-06	0	0	2.53424e-06	0	0	3
140	9	2.85287083	1.11821372	293.2	293.2	293.2	293.2	6.74748435e-09	2.932e-06	0	0	2.55117e-06	0	0	3
141	9	2.87669393	1.12620096	293.2	293.2	293.2	293.2	6.73480827e-09	2.932e-06	0	0	2.56422e-06	0	0	3
142	9	2.90051706	1.1341882	293.2	293.2	293.2	293.2	6.73117029e-09	2.932e-06	0	0	2.57284e-06	0	0	3
143	10	2.92435293	1.14217544	293.2	293.2	293.2	293.2	6.73975364e-09	2.932e-06	0	0	2.57376e-06	0	0	3
144	10	2.94820162	1.15016268	293.2	293.2	293.2	293.2	6.75765932e-09	2.932e-06	0	0	2.55286e-06	0	0	3
