Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.00233605447	0.00798724083	1.21898352	1.21898352	1.21898352	1.21898352	0	0	0	0	0	0	0	3
2	1	0.0040212357	0.0159744817	0.330287464	0.846557227	0.330287464	1.21898352	0.372426296	0	0	0	0	0	0	3
3	1	0.00572143262	0.0239617225	0.296349894	0.683056077	0.296349894	1.21898352	0.535927446	0	0	0	0	0	0	3
4	1	0.00743127207	0.0319489633	0.305250147	0.596127826	0.296349894	1.21898352	0.622855697	0	0	0	0	0	0	3
5	1	0.00918405604	0.0399362042	0.300287243	0.539666429	0.296349894	1.21898352	0.679317094	0	0	0	0	0	0	3
6	1	0.0120951263	0.047923445	0.292508772	0.480180213	0.292508772	1.21898352	0.73880331	0	0	0	0	0	0	3
7	1	0.0153634982	0.0559106858	0.287354833	0.439159278	0.287354833	1.21898352	0.779824245	0	0	0	0	0	0	3
8	1	0.0187480498	0.0638979267	0.284960898	0.411322123	0.284960898	1.21898352	0.8076614	0	0	0	0	0	0	3
9	1	0.0221568936	0.0718851675	0.285737139	0.39200084	0.284960898	1.21898352	0.826982683	0	0	0	0	0	0	3
10	1	0.0255767543	0.0798724083	0.282490316	0.377358219	0.282490316	1.21898352	0.841625304	0	0	0	0	0	0	3
11	1	0.0307205079	0.0878596492	0.357153114	0.373975134	0.282490316	1.21898352	0.845008389	0	0	0	0	0	0	3
12	1	0.0358429478	0.09584689	0.347882053	0.370246082	0.282490316	1.21898352	0.848737441	0	0	0	0	0	0	3
13	1	0.0410064468	0.103834131	0.335576249	0.365880484	0.282490316	1.21898352	0.853103039	0	0	0	0	0	0	3
14	2	0.0461841657	0.111821372	0.342362562	0.363243884	0.282490316	1.21898352	0.855739639	0	0	0	0	0	0	3
15	2	0.0513605044	0.119808613	0.324873505	0.359376747	0.282490316	1.21898352	0.859606776	0	0	0	0	0	0	3
16	2	0.0591551887	0.127795853	0.334433882	0.356090108	0.282490316	1.21898352	0.862893415	0	0	0	0	0	0	3
17	2	0.0669580815	0.135783094	0.357379145	0.356240325	0.282490316	1.21898352	0.862893415	0	0	0	0	0	0	3
18	2	0.0747691761	0.143770335	0.34855295	0.355437229	0.282490316	1.21898352	0.863546294	0	0	0	0	0	0	3
19	2	0.0825896567	0.151757576	0.350789442	0.354997126	0.282490316	1.21898352	0.863986397	0	0	0	0	0	0	3
20	2	0.0904215795	0.159744817	0.348148613	0.354403938	0.282490316	1.21898352	0.864579585	0	0	0	0	0	0	3
21	2	0.102189972	0.167732058	0.346107704	0.353448528	0.282490316	1.21898352	0.865534995	0	0	0	0	0	0	3
