Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	6.50512246e-06	0.00624454184	104.982628	104.982628	104.982628	104.982628	0	0	0	0	0	0	0	3
2	1	1.06037066e-05	0.0124890837	79.6300293	95.1832473	79.6300293	104.982628	9.79938075	0	0	0	0	0	0	3
3	1	1.47629998e-05	0.0187336255	64.4781568	86.5324665	64.4781568	104.982628	18.4501615	0	0	0	0	0	0	3
4	1	1.89739938e-05	0.0249781673	64.2403674	81.5850687	64.2403674	104.982628	23.3975593	0	0	0	0	0	0	3
5	1	2.33188437e-05	0.0312227092	67.3700949	78.9364842	64.2403674	104.982628	26.0461438	0	0	0	0	0	0	3
6	1	3.0512884e-05	0.037467251	68.508013	76.4777575	64.2403674	104.982628	28.5048705	0	0	0	0	0	0	3
7	1	3.85844872e-05	0.0437117929	71.1466714	75.3625318	64.2403674	104.982628	29.6200962	0	0	0	0	0	0	3
8	2	4.70321419e-05	0.0499563347	74.0216134	75.1216834	64.2403674	104.982628	29.8609446	0	0	0	0	0	0	3
9	2	5.56536416e-05	0.0562008765	75.792191	75.2255541	64.2403674	104.982628	29.8609446	0	0	0	0	0	0	3
10	2	6.44025681e-05	0.0624454184	78.8643544	75.7198759	64.2403674	104.982628	29.8609446	0	0	0	0	0	0	3
11	2	7.76871264e-05	0.0686899602	104.576926	80.6544537	64.2403674	104.982628	29.8609446	0	0	0	0	0	0	3
12	2	9.1152361e-05	0.074934502	103.69825	84.0585358	64.2403674	104.982628	29.8609446	0	0	0	0	0	0	3
13	2	0.000104752316	0.0811790439	111.030405	87.5602837	64.2403674	111.030405	29.8609446	0	0	0	0	0	0	3
14	2	0.000118448182	0.0874235857	110.305162	90.1902169	64.2403674	111.030405	29.8609446	0	0	0	0	0	0	3
15	2	0.000132210507	0.0936681275	120.175895	93.3115472	64.2403674	120.175895	29.8609446	0	0	0	0	0	0	3
16	2	0.000152921098	0.0999126694	124.66253	97.5575106	64.2403674	124.66253	29.8609446	0	0	0	0	0	0	3
17	2	0.000173684181	0.106157211	123.733061	100.686668	64.2403674	124.66253	29.8609446	0	0	0	0	0	0	3
18	2	0.000194478849	0.112401753	134.13329	104.262951	64.2403674	134.13329	29.8609446	0	0	0	0	0	0	3
19	3	0.00021529578	0.118646295	143.400571	108.047164	64.2403674	143.400571	32.9254808	0	0	0	0	0	0	3
20	3	0.000236131681	0.124890837	140.65621	110.924537	64.2403674	143.400571	35.8028535	0	0	0	0	0	0	3
21	3	0.000267412527	0.131135379	142.615006	114.631561	64.2403674	143.400571	39.5098776	0	0	0	0	0	0	3
22	3	0.000298726623	0.13737992	148.923001	118.22617	64.2403674	148.923001	43.1044867	0	0	0	0	0	0	3
23	3	0.000330066864	0.143624462	152.482578	121.478857	64.2403674	152.482578	46.3571733	0	0	0	0	0	0	3
24	3	0.000361420165	0.149869004	148.740201	123.843786	64.2403674	152.482578	48.7221025	0	0	0	0	0	0	3
25	3	0.000392772482	0.156113546	151.680296	126.065782	64.2403674	152.482578	50.9440991	0	0	0	0	0	0	3
